,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
10973,CUB,FIN,8630.289242,0,0,922500416.0,86945228458.0,39448.23047,8694.522846,114525512.0,16100000.0
10975,CUB,FLK,8484.141567,0,0,93351336.0,86574234591.0,25348.14453,8657.423459,139187680.0,15900000.0
10982,CUB,GEO,10849.21228,0,0,1456194048.0,110000000000.0,11591.6582,10987.76914,534705472.0,16000000.0
10983,CUB,GHA,8623.752394,0,0,1652225408.0,108000000000.0,17150.33594,10816.96176,522312448.0,12900000.0
10984,CUB,GIB,7237.054937000001,1,0,136859888.0,73975760957.0,4620.437011999999,7397.576096,598277888.0,15800000.0
10987,CUB,GMB,6743.2928950000005,0,0,100467896.0,69770297208.0,2766.028076,6977.029720999999,695611776.0,15600000.0
10989,CUB,GNQ,9816.749792,1,0,1237245440.0,99617994787.0,21121.63867,9961.799479000001,884896768.0,15900000.0
10992,CUB,GRL,5366.774213000001,0,0,1583082368.0,50827437454.0,4694.0,5082.743745000001,654232832.0,17100000.0
10994,CUB,GUF,3461.090641,0,0,8336178688.0,38059386515.0,68374.57031,3805.938651,827679808.0,14700000.0
10995,CUB,GUY,2893.507934,0,0,588235200.0,31627666736.0,13568.761719999999,3162.766674,748355712.0,14800000.0
10997,CUB,HND,1175.021908,1,0,167142928.0,11258830221.0,2968.9760739999997,1125.883022,1008351936.0,16900000.0
10998,CUB,HRV,8745.461452,0,0,604285952.0,87995388848.0,5784.796875,8799.538885,1221696000.0,16100000.0
10999,CUB,HTI,847.5292471000001,0,0,406122656.0,11624536199.0,2963.018066,1162.45362,1370227328.0,11800000.0
11001,CUB,IDN,17876.216819999998,0,0,103214328.0,179000000000.0,1475.668945,17890.001940000002,1330574720.0,16200000.0
11005,CUB,IRQ,11505.13178,0,0,5113266688.0,116000000000.0,53443.07422,11577.85742,1513726336.0,16100000.0
11006,CUB,ISL,6314.0451840000005,0,0,107000000000.0,62868039149.0,152271.0,6286.8039149999995,1592878592.0,16200000.0
