,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
9044,CHN,RWA,9884.308273,0,0,4386870784,1.03E+11,64393,10254.66425,15600000,916584128
9045,CHN,SAU,7093.231761,0,0,299044800,72461020970,9170.367188,7246.102097,15800000,1042959168
9046,CHN,SDN,8611.825977,0,0,,90195681121,5579.340332,9019.568112,15400000,1159533952
9047,CHN,SEN,12601.47032,0,0,19045750,1.33E+11,930,13289.3962,15300000,1388752640
9048,CHN,SGP,4097.428653,1,0,,38095115976,487273,3809.511598,17400000,2057467520
9049,CHN,SHN,14190.92122,0,0,,1.44E+11,12890,14429.56422,15900000,2543351808
9050,CHN,SLB,6747.121146,0,0,,60975058577,3715.894287,6097.505858,17900000,2717760768
9051,CHN,SLE,12798.73734,0,0,1064370432,1.35E+11,23210,13484.11454,15400000,4741186560
9052,CHN,SLV,13861.81357,0,0,,1.40E+11,3259,14044.33167,16000000,5515334656
9053,CHN,SMR,8353.226721,0,0,,89944399688,4145.927734,8994.439969,15000000,5994699776
9054,CHN,SOM,8177.784671,0,0,459877888,85747049897,6113,8574.70499,15400000,7155619840
9055,CHN,SPM,10805.59268,0,0,411072288,1.13E+11,61018.58594,11341.21766,15400000,8485416960
9056,CHN,STP,11801.38953,0,0,,1.23E+11,2370,12326.42715,15500000,10870022144
9057,CHN,STRAITS,,1,0,18700000,38095115976,985,3809.511598,0,11976507392
9058,CHN,SUR,15231.1271,0,0,237394432,1.59E+11,7821,15878.26929,15500000,14500228096
9059,CHN,SVK,7654.4799,0,0,1253988096,84369774073,10305,8436.977407,14700000,21314555904
9060,CHN,SVN,8064.569068,0,0,238736256,87282178389,2795,8728.217839,14900000,23549904896
9061,CHN,SWE,7276.971654,0,0,128564312,77687692035,1685,7768.769204,15200000,24212467712
9062,CHN,SWZ,11328.74035,0,0,,1.15E+11,3450.331543,11518.36909,15900000,29709359104
9063,CHN,SYC,7827.971101,0,0,4040388352,80369126382,64739,8036.912638,15800000,35576647680
9064,CHN,SYR,7041.594843,0,0,,77589013339,3187.914063,7758.901334,14700000,44760596480
9065,CHN,TCA,13584.6292,0,0,379932256,1.40E+11,4022,14006.48161,15700000,46333644800
9066,CHN,TCD,10235.72812,0,0,123745896,1.08E+11,3742,10823.86686,15300000,55980199936
9067,CHN,TGO,11793.17244,0,0,,1.24E+11,2643.081055,12446.49947,15300000,68179726336
9068,CHN,THA,2986.221823,0,0,,28913507009,958.2021484,2891.350701,16700000,90092208128
9069,CHN,TJK,4250.45475,0,1,169938656,48125904797,13716,4812.59048,14300000,99015753728
9070,CHN,TKM,5075.705017,0,0,231233248,57198297498,8583,5719.82975,14400000,1.10E+11
9071,CHN,TLS,5066.388132,0,0,,44430200897,506,4443.02009,18400000,1.16E+11
9072,CHN,TON,9531.453544,0,0,204697456,89081073575,16059.10938,8908.107358,17300000,1.15E+11
9073,CHN,TTO,14857.62037,0,0,4691999744,1.53E+11,45672,15348.61721,15700000,1.05E+11
9074,CHN,TUN,9033.909053,0,0,1497807232,96179908931,40469,9617.990893,15200000,1.07E+11
9075,CHN,TUR,7230.205265,0,0,,77419494805,1928,7741.949481,15100000,1.34E+11
9076,CHN,TUV,8065.12795,0,0,,75538490114,977,7553.849011,17300000,1.32E+11
9077,CHN,TWN,1490.693668,1,0,21609792,6858265327,21937.54883,685.8265327,35200000,1.34E+11
9078,CHN,TZA,9532.649371,0,0,,96653300663,440.2179565,9665.330066,16000000,1.37E+11
9079,CHN,UGA,9484.369143,0,0,86367544,98866524534,6275,9886.652453,15500000,1.42E+11
9080,CHN,UKR,6722.159082,0,0,187565824,74543831837,6701,7454.383184,14600000,1.59E+11
9081,CHN,URY,19064.29985,0,0,,1.96E+11,3929.660156,19551.39429,15800000,1.72E+11
9082,CHN,USA,11183.42812,0,0,2627276544,1.23E+11,333100,12298.91587,14700000,1.72E+11
9083,CHN,USSR,,0,1,,68211109143,6875.006348,6821.110914,0,1.97E+11
9084,CHN,UZB,4284.946021,0,0,,47434131203,14705,4743.41312,14600000,2.05E+11
9085,CHN,VCT,14557.2495,0,0,,1.51E+11,14364,15074.15023,15600000,2.53E+11
9086,CHN,VEN,14879.16406,0,0,,1.53E+11,6776.645508,15292.15729,15700000,2.68E+11
9087,CHN,VNM,2664.699431,0,1,,19249632010,6941.220215,1924.963201,22400000,2.81E+11
9088,CHN,VUT,7975.082193,0,0,1678876800,73876104397,172017,7387.61044,17500000,2.94E+11
9089,CHN,WDEU,,0,0,512671200,88232695115,8032,8823.269511,0,2.88E+11
9090,CHN,WSM,9289.921178,0,0,,86986915526,12058,8698.691553,17300000,2709808
9091,CHN,YAR,,0,0,,79410388237,7088.044434,7941.038824,0,2648128
9092,CHN,YEM,7530.447196,0,0,,79410388237,398,7941.038824,15300000,1812364
9093,CHN,YMD,,0,0,73440824,80017980237,4437,8001.798024,0,1763020
9094,CHN,YUG,7808.013728,0,0,,84045443280,680,8404.544328,15000000,2233844
9095,CHN,ZAF,11875.30255,0,0,932699136,1.18E+11,11592,11782.37769,16300000,1458732
9096,CHN,ZAFCAP,,0,0,,1.30E+11,860,12979.12783,0,2967839.75
9097,CHN,ZMB,10809.6867,0,0,482550208,1.12E+11,16875,11186.39321,15600000,2140319.75
9098,CHN,ZWE,10920.7497,0,0,607776192,1.11E+11,32894,11067.40221,16000000,1884435
